"","time","country","estimated_deaths_forecast","death_min_forecast","death_max_forecast"
"1",2020-04-24,"Denmark",9.55273675761827,6.85832968235624,13.1001871011664
"2",2020-04-25,"Denmark",9.193864133147,6.49891081194296,12.8685523881704
"3",2020-04-26,"Denmark",8.84681541138429,6.13118062761591,12.5994491668683
"4",2020-04-27,"Denmark",8.50589893349662,5.76179832561909,12.3602343646343
"5",2020-04-28,"Denmark",8.1747221015069,5.42526298721226,12.0846961993405
"6",2020-04-29,"Denmark",7.8536925122617,5.09795823984408,11.8345066648671
"7",2020-04-30,"Denmark",7.53968408625552,4.77339422790821,11.5461593002197
"8",2020-05-01,"Denmark",7.23691962063132,4.47535090269582,11.2448025233716
"9",2020-04-24,"Italy",358.672981846018,286.00505378639,450.834223476879
"10",2020-04-25,"Italy",339.808943883347,267.876622875577,430.605900871681
"11",2020-04-26,"Italy",321.817077982184,250.706928769735,412.271347953076
"12",2020-04-27,"Italy",304.589756801064,234.30877258741,394.871148886269
"13",2020-04-28,"Italy",288.209517968884,219.034369981842,378.082720979996
"14",2020-04-29,"Italy",272.586096847794,204.436820646539,361.866981262288
"15",2020-04-30,"Italy",257.763868174997,190.76009475931,346.278796853289
"16",2020-05-01,"Italy",243.695883737008,178.020877213921,330.706581270364
"17",2020-04-24,"Germany",200.678981343255,157.179152969377,261.191232973214
"18",2020-04-25,"Germany",196.143952220277,151.295374492614,260.106322184095
"19",2020-04-26,"Germany",191.581783533746,145.546398924395,258.680673506896
"20",2020-04-27,"Germany",186.950016968228,139.197937694838,257.065257713474
"21",2020-04-28,"Germany",182.282733842245,133.10219592819,255.763505366504
"22",2020-04-29,"Germany",177.563416680427,126.881197795473,254.319019582565
"23",2020-04-30,"Germany",172.930740693682,121.207500827844,252.941513772792
"24",2020-05-01,"Germany",168.275498776778,114.988002964403,251.216676670098
"25",2020-04-24,"Spain",437.40228250377,329.618503878759,567.417624371823
"26",2020-04-25,"Spain",418.996378524426,310.450649254521,551.624802968247
"27",2020-04-26,"Spain",400.826234392977,290.893771762332,532.934526999062
"28",2020-04-27,"Spain",383.297028666937,273.698750083702,516.979660721802
"29",2020-04-28,"Spain",366.700174947198,256.734057077841,499.874806457523
"30",2020-04-29,"Spain",350.660015942935,240.754333788042,485.053130812011
"31",2020-04-30,"Spain",335.102561282641,225.237829426434,468.402371376291
"32",2020-05-01,"Spain",320.208353426126,211.18280482179,455.141634509233
"33",2020-04-24,"United_Kingdom",686.32137202492,541.578273014715,869.128193410104
"34",2020-04-25,"United_Kingdom",664.107598882673,516.507451289377,854.980513983285
"35",2020-04-26,"United_Kingdom",641.145784843509,490.951330131806,838.657289326757
"36",2020-04-27,"United_Kingdom",617.85172043263,465.021139050291,818.256839368013
"37",2020-04-28,"United_Kingdom",594.86188338553,438.562674403804,802.109062048896
"38",2020-04-29,"United_Kingdom",572.029839951284,413.059623244735,782.191024927202
"39",2020-04-30,"United_Kingdom",549.479356927198,388.096018196281,765.209971872385
"40",2020-05-01,"United_Kingdom",527.142025184749,365.558565058938,746.322606196107
"41",2020-04-24,"France",695.765947513699,535.51658664937,913.605794806574
